,Focinho_OrelhaE,Focinho_OrelhaE,Focinho_OrelhaE,Focinho_OrelhaD,Focinho_OrelhaD,Focinho_OrelhaD,OrelhaE_OrelhaD,OrelhaE_OrelhaD,OrelhaE_OrelhaD,OrelhaD_Rabo,OrelhaD_Rabo,OrelhaD_Rabo,OrelhaE_Rabo,OrelhaE_Rabo,OrelhaE_Rabo
,length,orientation,likelihood,length,orientation,likelihood,length,orientation,likelihood,length,orientation,likelihood,length,orientation,likelihood
0,43.7916123900915,158.56641231238757,0.9999468326568604,51.91350883047992,102.09371260128133,0.9999634027481079,45.840926738375,49.31021820780657,0.9999634027481079,183.76072048862434,145.84836215178376,0.999940037727356,184.25812235863629,131.53834497775222,0.999940037727356
1,42.52759937411201,158.28294081779381,0.9999440908432007,47.196240608305544,101.43355151849957,0.9999604225158691,42.90574510114737,45.34948950023179,0.9999604225158691,180.75609192263445,142.1718132006637,0.9999629259109497,180.75151171480172,128.53931203881444,0.9999629259109497
2,38.22228696958564,160.6944096887448,0.9999746084213257,42.92840680098576,96.48620650085738,0.9999653100967407,43.312133735220044,43.871324918491474,0.9999653100967407,175.91498985433418,138.11252787630426,0.9999291896820068,178.0310509077051,124.07142328029695,0.9999291896820068
3,39.292608450399946,157.0051258747199,0.9999547004699707,45.037609905116895,93.32370057172487,0.9999927282333374,44.7561085288071,41.42474780241126,0.9999927282333374,168.4766655369936,136.94903020107526,0.999940037727356,170.1050010013739,121.76698813613365,0.999940037727356
4,43.303533221863155,141.96736620544547,0.999798595905304,51.205581047557196,83.43855215633572,0.9999830722808838,46.71135811621135,31.189510212866672,0.9999830722808838,165.16892804332153,136.182127429436,0.9999468326568604,159.59615071437833,119.75942716727482,0.9999468326568604
5,45.256849307541515,119.90429764158863,0.9999649524688721,59.01889924518226,68.39100099020037,0.9999899864196777,46.977635703618375,19.445914862306545,0.9999899864196777,168.2192412043715,134.40989468123763,0.999929666519165,154.38296737295627,118.39639784947984,0.999929666519165
6,47.94609279523635,110.6079651996088,0.9998238682746887,61.977981892332636,63.077890212020215,0.99981290102005,46.12188332079635,13.009904343812897,0.99981290102005,170.45277909529113,129.67545044054626,0.9999403953552246,155.32253761402,114.28709128514362,0.9999403953552246
7,57.02160799340073,104.94504648629065,0.9999558925628662,66.03028262171519,60.09248840479849,0.9995253086090088,47.67648251661225,2.57786551046524,0.9995253086090088,175.75638620765483,126.95835259457093,0.9999527931213379,153.9475327729479,112.14971566637655,0.9999527931213379
8,52.27363482148558,112.26047571319428,0.9998456239700317,58.581469864160766,62.0385469770336,0.9997091889381409,47.38934348638698,4.071994296024074,0.9997091889381409,177.81639578120283,123.05386259327383,0.9999836683273315,160.30748531691327,108.06707487940373,0.9999836683273315
9,43.84991480874855,117.84522997891703,0.9996733665466309,41.979648138241075,55.43893731823539,0.9997572302818298,44.49482938765792,354.5817057519481,0.9997572302818298,185.17604160607388,118.72048311329534,0.9999330043792725,164.38397689493692,105.77443417110503,0.9999330043792725
10,41.41680464556282,118.64344561605427,0.9999555349349976,38.365632198011006,53.321792777709454,0.9998569488525391,43.13233382089493,352.56838229916985,0.9998569488525391,187.56671360578062,117.65745380373909,0.9999924898147583,166.55447105919225,105.42354185683382,0.9999924898147583
11,41.88882786073472,116.58692965522566,0.999950647354126,40.08499898580424,50.48937591142189,0.9997710585594177,44.73021846409227,351.60105848003747,0.9997710585594177,186.32480135282574,118.6595637595901,0.999992847442627,163.31767536449559,106.03476280071425,0.999992847442627
12,43.991183429914095,115.1047060912276,0.9999755620956421,40.97771265040368,48.980225766798824,0.9993182420730591,46.42350819431045,348.9239298079859,0.9993182420730591,186.63641071348053,118.36256095704049,0.9999638795852661,161.18391164925305,105.51040109684864,0.9999638795852661
13,44.62756123692552,113.38499167757567,0.9999752044677734,40.19641959266324,48.93900670790006,0.999881386756897,45.384567059780515,346.42411063176417,0.999881386756897,186.90457351487106,117.39185969868099,0.9996662139892578,160.8419622252102,105.09014732335851,0.9996662139892578
14,44.98004278336586,112.1617217727404,0.9999728202819824,42.680069266969745,47.89430074122301,0.9998555183410645,46.66680188203776,347.6360776944117,0.9998555183410645,186.95624235531568,117.87310983907315,0.999729335308075,160.80743279437513,105.07391481450102,0.999729335308075
15,43.125930833316104,111.4004437104968,0.9999618530273438,44.42855663903729,51.33690958535425,0.9997695088386536,43.8337866742947,352.8429321779207,0.9997695088386536,185.75885611081046,118.680657687576,0.9997292160987854,163.99087356571025,106.1659895641439,0.9997292160987854
16,46.43307236878312,111.1785694354151,0.9999116659164429,48.46043445367423,56.982633676333094,0.9999182224273682,43.262920145614025,356.4715262186928,0.9999182224273682,183.6657152585597,119.03494724192578,0.9996740818023682,164.47270393702712,106.22667926883527,0.9996740818023682
17,46.954381554502,108.74256210556466,0.9995409250259399,50.45017110702499,55.63182850704551,0.9988343119621277,43.65804292772913,356.29450421328517,0.9988343119621277,186.9874812662915,120.39339759528265,0.9998495578765869,166.4843618199161,107.85174364668832,0.9998495578765869
18,46.94217214311104,103.41267927622943,0.9999747276306152,54.99086942043534,55.75204516081778,0.999546229839325,41.83687097703891,359.71814041055455,0.999546229839325,188.1010060835078,120.69552225970199,0.9999558925628662,170.38601798870843,108.54268236047055,0.9999558925628662
19,49.50471404611633,103.80138458649088,0.9999533891677856,64.44448189371252,60.22114212397468,0.9997270703315735,44.515522436753216,10.168680687098227,0.9997270703315735,181.9469388711341,124.1421549963162,0.9999790191650391,168.83268432296043,110.2012528224512,0.9999790191650391
