scorer,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000
bodyparts,Focinho,Focinho,Focinho,OrelhaE,OrelhaE,OrelhaE,OrelhaD,OrelhaD,OrelhaD,Rabo,Rabo,Rabo
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,931.9541625976562,2.190828323364258,0.9983147382736206,885.7570190429688,65.2108383178711,0.9999665021896362,933.1570434570312,77.47038269042969,0.9999841451644897,896.1024780273438,245.05287170410156,0.9999788999557495
1,933.7603759765625,2.190828323364258,0.9980202913284302,886.0636596679688,65.41485595703125,0.9999803304672241,933.3310546875,78.52721405029297,0.9999791383743286,896.1024780273438,245.05287170410156,0.9999773502349854
2,943.2877197265625,2.4140586853027344,0.9971213936805725,887.3375854492188,66.31021118164062,0.9999629259109497,933.482666015625,78.8868408203125,0.9999550580978394,896.1024780273438,245.05287170410156,0.9999797344207764
3,946.819580078125,2.4140586853027344,0.9980123043060303,888.4989013671875,65.41485595703125,0.999962568283081,933.482666015625,78.8868408203125,0.9999756813049316,895.7025146484375,243.68856811523438,0.9999810457229614
4,948.7220458984375,6.393360614776611,0.9995524287223816,888.4989013671875,65.41485595703125,0.9999788999557495,933.482666015625,80.60343170166016,0.9999933242797852,894.9862670898438,243.53160095214844,0.999969482421875
5,957.7789306640625,9.971076965332031,0.99949049949646,888.4989013671875,66.31021118164062,0.9999420642852783,930.5706787109375,84.48442077636719,0.9999899864196777,894.8580932617188,243.53160095214844,0.999971866607666
6,959.0888671875,19.015270233154297,0.9999631643295288,888.2122802734375,66.94322967529297,0.9999662637710571,927.2593383789062,90.71034240722656,0.9998582601547241,894.7216186523438,243.68856811523438,0.9999673366546631
7,959.6779174804688,26.30009651184082,0.9999150037765503,887.5546875,69.5564956665039,0.9999812841415405,925.9046630859375,94.22393035888672,0.9998974800109863,894.6396484375,244.03970336914062,0.9999692440032959
8,963.048828125,38.18572235107422,0.9999939203262329,887.54248046875,69.908935546875,0.9999711513519287,921.4638671875,98.20663452148438,0.9999736547470093,894.2662353515625,245.10704040527344,0.9999562501907349
9,964.9869384765625,45.269771575927734,0.9999572038650513,887.54248046875,78.26460266113281,0.9998989105224609,921.0318603515625,105.6876449584961,0.9998420476913452,893.7171630859375,248.82362365722656,0.9998784065246582
10,965.5082397460938,52.13988494873047,0.9999971389770508,887.54248046875,83.03628540039062,0.9999864101409912,920.5404663085938,110.99261474609375,0.9999707937240601,893.7171630859375,251.651611328125,0.9997898936271667
11,964.9869384765625,60.49773406982422,0.9999469518661499,887.40185546875,86.23897552490234,0.9999771118164062,919.5545043945312,118.07698059082031,0.9999731779098511,893.7171630859375,255.62794494628906,0.9998987913131714
12,963.048828125,69.87310028076172,0.999987006187439,887.1996459960938,92.82333374023438,0.9998787641525269,918.5797729492188,122.91810607910156,0.9999314546585083,894.2990112304688,259.20758056640625,0.9999793767929077
13,965.3798217773438,73.57508850097656,0.9999798536300659,886.0374145507812,99.74673461914062,0.999985933303833,918.0707397460938,125.57275390625,0.9999799728393555,894.2990112304688,261.497314453125,0.9999428987503052
14,965.3798217773438,77.20480346679688,0.9999704360961914,886.0374145507812,102.60716247558594,0.9999799728393555,917.7814331054688,132.73037719726562,0.9999873638153076,894.2990112304688,263.8920593261719,0.9998880624771118
15,965.3798217773438,87.5960922241211,0.9999935626983643,886.0374145507812,108.61703491210938,0.9999305009841919,915.5505981445312,143.1530303955078,0.9999938011169434,893.8406982421875,265.3998718261719,0.9998937845230103
16,966.0377807617188,108.02001953125,0.9999393224716187,886.9011840820312,111.45940399169922,0.9999496936798096,907.3800048828125,153.56805419921875,0.9997144341468811,893.790771484375,266.8427429199219,0.9999269247055054
17,974.6256103515625,124.0553207397461,0.9996086955070496,894.0006713867188,113.22615051269531,0.9998583793640137,906.8763427734375,163.95849609375,0.999832034111023,890.8749389648438,267.0846252441406,0.9996229410171509
18,977.3187255859375,133.51731872558594,0.9995787739753723,896.6647338867188,122.96865844726562,0.9996473789215088,906.8763427734375,173.93577575683594,0.9987819790840149,888.5119018554688,267.2519226074219,0.9998238682746887
19,978.797119140625,142.25845336914062,0.9997887015342712,898.7650756835938,126.27576446533203,0.9999213218688965,907.3800048828125,179.53233337402344,0.9997984766960144,887.832763671875,267.5566101074219,0.9998645782470703
20,980.8749389648438,150.94915771484375,0.9997450709342957,900.8739624023438,133.3524169921875,0.9999775886535645,907.5357055664062,184.4901885986328,0.9993867874145508,885.501220703125,267.5566101074219,0.9999351501464844
21,981.7769775390625,157.39453125,0.9988501071929932,900.9457397460938,140.8025665283203,0.9999057054519653,908.7388916015625,192.945068359375,0.9995527863502502,885.3737182617188,267.5566101074219,0.9999358654022217
22,981.9054565429688,168.1520233154297,0.9998310804367065,901.3646240234375,145.87046813964844,0.9999823570251465,908.7468872070312,199.0104522705078,0.9993984699249268,883.7759399414062,267.61297607421875,0.9999561309814453
23,983.0350952148438,179.1638641357422,0.9991427659988403,902.9474487304688,155.1999053955078,0.9998633861541748,908.7388916015625,209.8885498046875,0.9993718266487122,883.2354736328125,268.640380859375,0.9999628067016602
24,983.6434326171875,191.30084228515625,0.9996763467788696,903.5862426757812,168.03390502929688,0.9999674558639526,908.7388916015625,221.5232696533203,0.9994589686393738,883.1906127929688,268.640380859375,0.999963641166687
25,984.1458740234375,199.1759490966797,0.9998226761817932,904.556396484375,174.3807830810547,0.9999415874481201,909.1058349609375,227.22052001953125,0.9998832941055298,881.392578125,268.640380859375,0.9999644756317139
26,983.7161254882812,210.92526245117188,0.9997194409370422,904.556396484375,185.70285034179688,0.9996851682662964,909.1058349609375,236.19064331054688,0.9996815919876099,881.1610717773438,268.1683044433594,0.9999359846115112
27,983.7161254882812,220.13018798828125,0.9992719292640686,905.8223266601562,196.88217163085938,0.9999743700027466,908.6425170898438,244.51654052734375,0.9999265670776367,880.2068481445312,268.1683044433594,0.9998384714126587
28,984.1458740234375,228.61585998535156,0.9998847246170044,905.9148559570312,205.51112365722656,0.9998892545700073,908.9519653320312,251.4122772216797,0.9990918636322021,880.2068481445312,268.1683044433594,0.9997485280036926
29,984.1458740234375,235.39894104003906,0.9995988011360168,905.8223266601562,213.09585571289062,0.9999842643737793,908.6425170898438,257.39874267578125,0.9999045133590698,880.2068481445312,268.335693359375,0.9997081160545349
30,984.6770629882812,238.98231506347656,0.9995771050453186,905.9148559570312,218.01304626464844,0.9998648166656494,908.6425170898438,264.0584716796875,0.9997856020927429,880.3612060546875,268.5140380859375,0.9997721314430237
31,984.9971313476562,240.23440551757812,0.9996216297149658,905.9432373046875,219.58328247070312,0.9996114373207092,908.9519653320312,264.7027587890625,0.999774158000946,880.546875,269.6842956542969,0.9997093081474304
32,985.0867919921875,241.58338928222656,0.9997386336326599,905.98974609375,221.78662109375,0.9995822310447693,909.6771850585938,266.873291015625,0.9995848536491394,880.77197265625,269.7898864746094,0.9998646974563599
33,985.0867919921875,242.79393005371094,0.9996724128723145,906.9097900390625,221.98794555664062,0.99962317943573,909.7728271484375,267.1844482421875,0.9994840621948242,880.6974487304688,269.8038330078125,0.9998261332511902
34,985.2760620117188,244.18618774414062,0.9997745156288147,906.9799194335938,222.29083251953125,0.9996581077575684,909.7728271484375,267.43548583984375,0.9994996786117554,880.6974487304688,269.9438171386719,0.9998055100440979
35,985.2760620117188,244.18618774414062,0.9998260140419006,906.9799194335938,222.29083251953125,0.999626636505127,909.6771850585938,267.43548583984375,0.9996143579483032,880.546875,270.2244567871094,0.9998537302017212
36,985.116943359375,244.18618774414062,0.9997590184211731,906.9799194335938,222.29083251953125,0.9994925260543823,909.5662231445312,267.43548583984375,0.9994749426841736,880.3427124023438,270.2244567871094,0.999842643737793
