track,frame_idx,instance.score,snout.x,snout.y,snout.score,left_ear.x,left_ear.y,left_ear.score,right_ear.x,right_ear.y,right_ear.score,left_hip.x,left_hip.y,left_hip.score,center.x,center.y,center.score,right_hip.x,right_hip.y,right_hip.score,tail_base.x,tail_base.y,tail_base.score
,0,5.041582107543945,403.71392822265625,373.894287109375,0.7646819353103638,374.13128662109375,407.86029052734375,0.7246571183204651,412.13116455078125,414.11566162109375,0.6774723529815674,372.1913146972656,440.0870361328125,0.6111891269683838,399.8995056152344,441.9163818359375,0.6618700623512268,422.1609191894531,426.1288146972656,0.6664035320281982,397.9519348144531,473.8713684082031,0.9353077411651611
,1,5.041582107543945,403.71392822265625,373.894287109375,0.7646819353103638,374.13128662109375,407.86029052734375,0.7246571183204651,412.13116455078125,414.11566162109375,0.6774723529815674,372.1913146972656,440.0870361328125,0.6111891269683838,399.8995056152344,441.9163818359375,0.6618700623512268,422.1609191894531,426.1288146972656,0.6664035320281982,397.9519348144531,473.8713684082031,0.9353077411651611
,2,5.11322021484375,418.0130310058594,374.1116943359375,0.8056718707084656,381.8544616699219,403.9356689453125,0.7262566685676575,419.8077087402344,416.0366516113281,0.7564298510551453,374.1029968261719,436.04473876953125,0.5909478664398193,400.0072937011719,441.8070983886719,0.6644583344459534,426.08819580078125,430.1297607421875,0.6475393176078796,396.2197265625,473.8697814941406,0.9219164252281189
,3,5.240108966827393,428.0019836425781,376.1443176269531,0.8434503078460693,389.76947021484375,401.8700256347656,0.6650635004043579,423.8289489746094,420.0343017578125,0.9191162586212158,375.785400390625,434.041748046875,0.5478911995887756,399.96282958984375,441.96929931640625,0.7630331516265869,426.1093444824219,435.9559631347656,0.6057506203651428,393.7949523925781,476.0559997558594,0.8958039879798889
,4,5.237998008728027,427.9932861328125,376.1460876464844,0.8478735089302063,389.7652893066406,401.8720703125,0.668140172958374,423.83154296875,420.0364990234375,0.9198373556137085,375.7946472167969,434.04107666015625,0.5463499426841736,399.96893310546875,441.9711608886719,0.7601892948150635,426.1004333496094,435.9476623535156,0.5993803143501282,393.79815673828125,476.04974365234375,0.8962271213531494
,5,5.28931999206543,429.9807434082031,378.1967468261719,0.8717256784439087,391.9134216308594,404.0325927734375,0.6925070881843567,425.85198974609375,422.0483093261719,0.9015447497367859,376.0696716308594,435.86700439453125,0.5588210821151733,400.15008544921875,443.9419250488281,0.7637388110160828,427.87225341796875,438.1412353515625,0.6102831959724426,391.8424987792969,476.2322692871094,0.8906993865966797
,6,5.283535003662109,429.9806823730469,378.1957702636719,0.8719955086708069,391.91461181640625,404.0314636230469,0.6906273365020752,425.8529357910156,422.04815673828125,0.9014493823051453,376.07403564453125,435.8659362792969,0.559434175491333,400.154296875,443.9468078613281,0.7628301382064819,427.87298583984375,438.1412353515625,0.6097888946533203,391.8409118652344,476.23321533203125,0.8874096274375916
,7,5.191003322601318,430.0479736328125,377.96319580078125,0.8670174479484558,392.0915832519531,403.9261169433594,0.6963772773742676,426.0098876953125,420.2204895019531,0.8122594952583313,377.8409423828125,432.07403564453125,0.5639400482177734,401.85113525390625,443.8619384765625,0.7423732280731201,427.9457702636719,441.9501953125,0.6368870139122009,391.83807373046875,476.20404052734375,0.8721488118171692
,8,5.190987586975098,430.0479736328125,377.9631652832031,0.8670125603675842,392.0915832519531,403.9261169433594,0.6963785290718079,426.0098876953125,420.2204895019531,0.8122593760490417,377.8409423828125,432.07403564453125,0.563940703868866,401.85113525390625,443.8619384765625,0.7423733472824097,427.9457702636719,441.9501953125,0.6368869543075562,391.8380432128906,476.2040100097656,0.8721359968185425
,9,5.250936031341553,426.0635070800781,375.9887390136719,0.8525264859199524,392.0914611816406,406.1469421386719,0.6826705932617188,426.1325988769531,420.2332458496094,0.8506341576576233,377.99920654296875,433.8861999511719,0.5975254774093628,402.06329345703125,443.9468688964844,0.7742832899093628,428.00408935546875,441.93670654296875,0.633857250213623,390.1682434082031,477.7971496582031,0.8594387769699097
