track,frame_idx,instance.score,snout.x,snout.y,snout.score,left_ear.x,left_ear.y,left_ear.score,right_ear.x,right_ear.y,right_ear.score,left_hip.x,left_hip.y,left_hip.score,center.x,center.y,center.score,right_hip.x,right_hip.y,right_hip.score,tail_base.x,tail_base.y,tail_base.score
,0,5.38550329208374,159.8822784423828,337.7421569824219,0.85205078125,146.1256103515625,381.8252258300781,0.8877660036087036,180.1578826904297,377.8847351074219,0.8730801343917847,145.97813415527344,406.0765380859375,0.547214150428772,170.12451171875,407.8804016113281,0.8298594951629639,187.94842529296875,394.0274658203125,0.5282158255577087,189.85609436035156,440.1332092285156,0.8673171997070312
,1,5.38550329208374,159.8822784423828,337.7421569824219,0.85205078125,146.1256103515625,381.8252258300781,0.8877660036087036,180.1578826904297,377.8847351074219,0.8730801343917847,145.97813415527344,406.0765380859375,0.547214150428772,170.12451171875,407.8804016113281,0.8298594951629639,187.94842529296875,394.0274658203125,0.5282158255577087,189.85609436035156,440.1332092285156,0.8673171997070312
,2,5.25842809677124,161.94122314453125,339.9208984375,0.8193027377128601,147.8254852294922,381.9844970703125,0.7423211932182312,179.87216186523438,379.8325500488281,0.799230694770813,147.7179718017578,418.0896911621094,0.5631833672523499,173.87208557128906,419.85577392578125,0.7873685359954834,192.02139282226562,405.8947448730469,0.5813063383102417,191.8042755126953,456.0291442871094,0.9657155275344849
,3,5.25908899307251,161.9413299560547,339.92083740234375,0.8192684650421143,147.825439453125,381.984375,0.7428721785545349,179.87213134765625,379.83258056640625,0.799370527267456,147.7177276611328,418.08941650390625,0.5631487965583801,173.87210083007812,419.8557434082031,0.7873706817626953,192.0214080810547,405.8947448730469,0.5813298225402832,191.80429077148438,456.0291748046875,0.9657282829284668
,4,4.82071590423584,171.82305908203125,352.0549621582031,0.710195004940033,158.0959014892578,394.0114440917969,0.7064259052276611,187.99859619140625,390.0116271972656,0.6419417858123779,153.78273010253906,426.06695556640625,0.5540677309036255,177.8811492919922,429.96728515625,0.7128719091415405,199.93556213378906,418.04833984375,0.6173232793807983,188.1754913330078,467.8439025878906,0.8778899908065796
,5,4.820713520050049,171.82305908203125,352.0549621582031,0.7101936340332031,158.0959014892578,394.0114440917969,0.7064259052276611,187.99856567382812,390.0116271972656,0.6419329643249512,153.78273010253906,426.06695556640625,0.5540677309036255,177.8811492919922,429.96728515625,0.7128722071647644,199.93557739257812,418.04833984375,0.6173307299613953,188.1754913330078,467.8439025878906,0.8778899312019348
,6,4.779250621795654,187.81112670898438,370.08154296875,0.5883955955505371,169.78370666503906,406.0106201171875,0.7848192453384399,199.84127807617188,406.1789855957031,0.6084592342376709,157.99240112304688,434.04241943359375,0.5573534965515137,182.03599548339844,442.0223693847656,0.7091606855392456,208.0535430908203,436.04278564453125,0.5663936734199524,189.8621368408203,482.2392272949219,0.9646684527397156
,7,4.780273914337158,187.8120880126953,370.0799865722656,0.5892059803009033,169.7837677001953,406.01055908203125,0.7848493456840515,199.84127807617188,406.1793518066406,0.6083739399909973,157.99249267578125,434.04248046875,0.5573908090591431,182.03602600097656,442.0223693847656,0.7091628909111023,208.05357360839844,436.0425720214844,0.5664837956428528,189.86184692382812,482.2388610839844,0.9648071527481079
,8,4.621702671051025,194.13848876953125,384.039306640625,0.6691975593566895,173.7437286376953,417.9253234863281,0.7370036244392395,203.89024353027344,424.142822265625,0.5598723888397217,158.11166381835938,442.06268310546875,0.5529820322990417,181.79991149902344,454.0897521972656,0.6571359634399414,207.97714233398438,451.985107421875,0.6228015422821045,187.7906951904297,491.9895324707031,0.8227094411849976
,9,4.1516828536987305,194.0946807861328,387.8303527832031,0.4509000778198242,176.20150756835938,422.0450744628906,0.5862563252449036,206.0579833984375,428.0235290527344,0.5474284887313843,160.15411376953125,448.04583740234375,0.5524607300758362,183.97079467773438,460.1341247558594,0.6287015676498413,209.90830993652344,456.059814453125,0.6082199811935425,186.25730895996094,498.1197204589844,0.7777155041694641
